x,y,theta,sensor_id,sensor_value
0.581618,0.547568,0.125304,5,0.102914
0.581618,0.547568,0.125304,6,0.088186
0.581618,0.547568,0.125304,7,0.070935
0.581618,0.547568,0.125304,8,0.075045
0.581618,0.547568,0.125304,9,0.073934
0.581618,0.547568,0.125304,10,0.079268
0.581618,0.547568,0.125304,11,0.107985
0.581618,0.547568,0.125304,12,0.088347
0.581618,0.547568,0.125304,13,0.111756
0.581618,0.547568,0.125304,14,0.090819
0.581618,0.547568,0.125304,15,0.084860
0.581618,0.547568,0.125304,16,0.123321
0.579184,0.547300,0.109771,1,0.100218
0.579184,0.547300,0.109771,2,0.089425
0.579184,0.547300,0.109771,3,0.087601
0.579184,0.547300,0.109771,4,0.094029
0.579184,0.547300,0.109771,5,0.111949
0.579184,0.547300,0.109771,6,0.083977
0.579184,0.547300,0.109771,7,0.082537
0.579184,0.547300,0.109771,8,0.076867
0.579184,0.547300,0.109771,9,0.101206
0.579184,0.547300,0.109771,10,0.081612
0.579184,0.547300,0.109771,11,0.095746
0.579184,0.547300,0.109771,12,0.102169
0.579184,0.547300,0.109771,13,0.110396
0.579184,0.547300,0.109771,14,0.100131
0.579184,0.547300,0.109771,15,0.092374
0.579184,0.547300,0.109771,16,0.088525
0.576606,0.547044,0.099002,1,0.107738
0.576606,0.547044,0.099002,2,0.108677
0.576606,0.547044,0.099002,3,0.098551
0.576606,0.547044,0.099002,4,0.104564
0.576606,0.547044,0.099002,5,0.098268
0.576606,0.547044,0.099002,6,0.072723
0.576606,0.547044,0.099002,7,0.091399
0.576606,0.547044,0.099002,8,0.076131
0.576606,0.547044,0.099002,9,0.075094
0.576606,0.547044,0.099002,10,0.084447
0.576606,0.547044,0.099002,11,0.104600
0.576606,0.547044,0.099002,12,0.102931
0.576606,0.547044,0.099002,13,0.096012
0.576606,0.547044,0.099002,14,0.112932
0.576606,0.547044,0.099002,15,0.103298
0.576606,0.547044,0.099002,16,0.090761
0.572616,0.546790,0.063516,1,0.098515
0.572616,0.546790,0.063516,2,0.103478
0.572616,0.546790,0.063516,3,0.108689
0.572616,0.546790,0.063516,4,0.116147
0.572616,0.546790,0.063516,5,0.087531
0.572616,0.546790,0.063516,6,0.097860
0.572616,0.546790,0.063516,7,0.071841
0.572616,0.546790,0.063516,8,0.070304
0.572616,0.546790,0.063516,9,0.082065
0.572616,0.546790,0.063516,10,0.084741
0.572616,0.546790,0.063516,11,0.099000
0.572616,0.546790,0.063516,12,0.088120
0.572616,0.546790,0.063516,13,0.081775
0.572616,0.546790,0.063516,14,0.111381
0.572616,0.546790,0.063516,15,0.091421
0.572616,0.546790,0.063516,16,0.102143
0.570996,0.546674,0.071093,1,0.098987
0.570996,0.546674,0.071093,2,0.084010
0.570996,0.546674,0.071093,3,0.123839
0.570996,0.546674,0.071093,4,0.102554
0.570996,0.546674,0.071093,5,0.102478
0.570996,0.546674,0.071093,6,0.083806
0.570996,0.546674,0.071093,7,0.068701
0.570996,0.546674,0.071093,8,0.078247
0.570996,0.546674,0.071093,9,0.096132
0.570996,0.546674,0.071093,10,0.072758
0.570996,0.546674,0.071093,11,0.107315
0.570996,0.546674,0.071093,12,0.099529
0.570996,0.546674,0.071093,13,0.093006
0.570996,0.546674,0.071093,14,0.107475
0.570996,0.546674,0.071093,15,0.101432
0.570996,0.546674,0.071093,16,0.096221
0.573385,0.546795,0.050409,1,0.096529
0.573385,0.546795,0.050409,2,0.115045
0.573385,0.546795,0.050409,3,0.080050
0.573385,0.546795,0.050409,4,0.096830
0.573385,0.546795,0.050409,5,0.114117
0.573385,0.546795,0.050409,6,0.108316
0.573385,0.546795,0.050409,7,0.081657
0.573385,0.546795,0.050409,8,0.066189
0.573385,0.546795,0.050409,9,0.068577
0.573385,0.546795,0.050409,10,0.112067
0.573385,0.546795,0.050409,11,0.115394
0.573385,0.546795,0.050409,12,0.099304
0.573385,0.546795,0.050409,13,0.106879
0.573385,0.546795,0.050409,14,0.088557
0.573385,0.546795,0.050409,15,0.104495
0.573385,0.546795,0.050409,16,0.086062
0.573868,0.546826,0.063992,1,0.103675
0.573868,0.546826,0.063992,2,0.090419
0.573868,0.546826,0.063992,3,0.114625
0.573868,0.546826,0.063992,4,0.113098
0.573868,0.546826,0.063992,5,0.095910
0.573868,0.546826,0.063992,6,0.087307
0.573868,0.546826,0.063992,7,0.112010
0.573868,0.546826,0.063992,8,0.083552
0.573868,0.546826,0.063992,9,0.069988
0.573868,0.546826,0.063992,10,0.071807
0.573868,0.546826,0.063992,11,0.098241
0.573868,0.546826,0.063992,12,0.093619
0.573868,0.546826,0.063992,13,0.100497
0.573868,0.546826,0.063992,14,0.094087
0.573868,0.546826,0.063992,15,0.091102
0.573868,0.546826,0.063992,16,0.108704
0.577852,0.547069,0.060910,1,0.101539
0.577852,0.547069,0.060910,2,0.088532
0.577852,0.547069,0.060910,3,0.091426
0.577852,0.547069,0.060910,4,0.096476
